instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,ntemp,ftemp,atemp,natemp,fatemp,hum,nhum,fhum,windspeed,nwindspeed,fwindspeed,casual,registered,cnt,day
10558,2012/3/21,2,1,3,0,0,3,1,1,0.52,21.32,2,0.5,25,2,0.88,88,4,0,0,0,4,29,33,0
10559,2012/3/21,2,1,3,1,0,3,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,4,22,26,0
10560,2012/3/21,2,1,3,2,0,3,1,1,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.1343,8.9981,1,2,8,10,0
10561,2012/3/21,2,1,3,3,0,3,1,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.194,12.998,2,1,7,8,0
10562,2012/3/21,2,1,3,4,0,3,1,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.1343,8.9981,1,0,4,4,0
10563,2012/3/21,2,1,3,5,0,3,1,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.1343,8.9981,1,4,35,39,0
10564,2012/3/21,2,1,3,6,0,3,1,2,0.48,19.68,1,0.4697,23.485,2,0.94,94,4,0.2239,15.0013,2,10,139,149,0
10565,2012/3/21,2,1,3,7,0,3,1,3,0.48,19.68,1,0.4697,23.485,2,0.94,94,4,0.194,12.998,2,34,338,372,1
10566,2012/3/21,2,1,3,8,0,3,1,3,0.48,19.68,1,0.4697,23.485,2,0.94,94,4,0.1045,7.0015,1,33,502,535,1
10567,2012/3/21,2,1,3,9,0,3,1,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.1642,11.0014,2,38,255,293,1
10568,2012/3/21,2,1,3,10,0,3,1,2,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1642,11.0014,2,30,124,154,1
10569,2012/3/21,2,1,3,11,0,3,1,2,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1642,11.0014,2,38,154,192,1
10570,2012/3/21,2,1,3,12,0,3,1,2,0.54,22.14,2,0.5152,25.76,2,0.77,77,3,0,0,0,58,171,229,1
10571,2012/3/21,2,1,3,13,0,3,1,2,0.54,22.14,2,0.5152,25.76,2,0.83,83,4,0,0,0,81,222,303,1
10572,2012/3/21,2,1,3,14,0,3,1,2,0.56,22.96,2,0.5303,26.515,2,0.78,78,3,0,0,0,74,151,225,1
10573,2012/3/21,2,1,3,15,0,3,1,2,0.56,22.96,2,0.5303,26.515,2,0.78,78,3,0,0,0,68,175,243,1
10574,2012/3/21,2,1,3,16,0,3,1,1,0.58,23.78,2,0.5455,27.275,2,0.73,73,3,0,0,0,91,287,378,1
10575,2012/3/21,2,1,3,17,0,3,1,1,0.6,24.6,2,0.5909,29.545,2,0.69,69,3,0.0896,6.0032,1,113,616,729,1
10576,2012/3/21,2,1,3,18,0,3,1,1,0.6,24.6,2,0.5909,29.545,2,0.69,69,3,0,0,0,152,627,779,1
10577,2012/3/21,2,1,3,19,0,3,1,1,0.6,24.6,2,0.6061,30.305,3,0.64,64,3,0,0,0,86,496,582,1
10578,2012/3/21,2,1,3,20,0,3,1,1,0.56,22.96,2,0.5303,26.515,2,0.78,78,3,0.0896,6.0032,1,76,298,374,1
10579,2012/3/21,2,1,3,21,0,3,1,1,0.54,22.14,2,0.5152,25.76,2,0.83,83,4,0.1045,7.0015,1,47,204,251,1
10580,2012/3/21,2,1,3,22,0,3,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1642,11.0014,2,41,156,197,0
10581,2012/3/21,2,1,3,23,0,3,1,1,0.54,22.14,2,0.5152,25.76,2,0.77,77,3,0,0,0,37,88,125,0
10582,2012/3/22,2,1,3,0,0,4,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,9,32,41,0
10583,2012/3/22,2,1,3,1,0,4,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,14,16,30,0
10584,2012/3/22,2,1,3,2,0,4,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,1,5,6,0
10585,2012/3/22,2,1,3,3,0,4,1,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,0,7,7,0
10586,2012/3/22,2,1,3,4,0,4,1,2,0.48,19.68,1,0.4697,23.485,2,1,100,4,0.0896,6.0032,1,0,6,6,0
10587,2012/3/22,2,1,3,5,0,4,1,2,0.48,19.68,1,0.4697,23.485,2,1,100,4,0.0896,6.0032,1,2,32,34,0
10588,2012/3/22,2,1,3,6,0,4,1,2,0.48,19.68,1,0.4697,23.485,2,1,100,4,0.0896,6.0032,1,10,126,136,0
10589,2012/3/22,2,1,3,7,0,4,1,2,0.48,19.68,1,0.4697,23.485,2,1,100,4,0.0896,6.0032,1,29,332,361,1
10590,2012/3/22,2,1,3,8,0,4,1,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.0896,6.0032,1,51,598,649,1
10591,2012/3/22,2,1,3,9,0,4,1,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.0896,6.0032,1,41,277,318,1
10592,2012/3/22,2,1,3,10,0,4,1,2,0.5,20.5,2,0.4848,24.24,2,1,100,4,0.0896,6.0032,1,32,110,142,1
10593,2012/3/22,2,1,3,11,0,4,1,2,0.52,21.32,2,0.5,25,2,0.94,94,4,0,0,0,53,166,219,1
10594,2012/3/22,2,1,3,12,0,4,1,2,0.54,22.14,2,0.5152,25.76,2,0.88,88,4,0.194,12.998,2,48,224,272,1
10595,2012/3/22,2,1,3,13,0,4,1,1,0.58,23.78,2,0.5455,27.275,2,0.78,78,3,0.0896,6.0032,1,83,215,298,1
10596,2012/3/22,2,1,3,14,0,4,1,1,0.6,24.6,2,0.5909,29.545,2,0.73,73,3,0.1045,7.0015,1,96,161,257,1
10597,2012/3/22,2,1,3,15,0,4,1,1,0.62,25.42,2,0.6061,30.305,3,0.69,69,3,0.194,12.998,2,102,202,304,1
10598,2012/3/22,2,1,3,16,0,4,1,1,0.64,26.24,2,0.6061,30.305,3,0.65,65,3,0.194,12.998,2,125,300,425,1
10599,2012/3/22,2,1,3,17,0,4,1,1,0.66,27.06,2,0.6212,31.06,3,0.65,65,3,0.1642,11.0014,2,154,656,810,1
10600,2012/3/22,2,1,3,18,0,4,1,1,0.66,27.06,2,0.6212,31.06,3,0.65,65,3,0.1642,11.0014,2,147,654,801,1
10601,2012/3/22,2,1,3,19,0,4,1,1,0.66,27.06,2,0.6212,31.06,3,0.61,61,3,0,0,0,117,469,586,1
10602,2012/3/22,2,1,3,20,0,4,1,1,0.62,25.42,2,0.5909,29.545,2,0.73,73,3,0.2836,19.0012,3,64,360,424,1
10603,2012/3/22,2,1,3,21,0,4,1,1,0.58,23.78,2,0.5455,27.275,2,0.78,78,3,0.1642,11.0014,2,66,308,374,1
10604,2012/3/22,2,1,3,22,0,4,1,1,0.56,22.96,2,0.5303,26.515,2,0.83,83,4,0.194,12.998,2,56,164,220,0
10605,2012/3/22,2,1,3,23,0,4,1,1,0.56,22.96,2,0.5303,26.515,2,0.83,83,4,0.0896,6.0032,1,34,117,151,0
10606,2012/3/23,2,1,3,0,0,5,1,1,0.56,22.96,2,0.5303,26.515,2,0.83,83,4,0,0,0,30,65,95,0
10607,2012/3/23,2,1,3,1,0,5,1,1,0.54,22.14,2,0.5152,25.76,2,0.88,88,4,0,0,0,18,32,50,0
10608,2012/3/23,2,1,3,2,0,5,1,1,0.54,22.14,2,0.5152,25.76,2,0.88,88,4,0.0896,6.0032,1,12,20,32,0
10609,2012/3/23,2,1,3,3,0,5,1,1,0.52,21.32,2,0.5,25,2,0.88,88,4,0.1045,7.0015,1,4,6,10,0
10610,2012/3/23,2,1,3,4,0,5,1,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.1045,7.0015,1,0,3,3,0
10611,2012/3/23,2,1,3,5,0,5,1,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0,0,0,5,29,34,0
10612,2012/3/23,2,1,3,6,0,5,1,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0,0,0,6,110,116,0
10613,2012/3/23,2,1,3,7,0,5,1,2,0.5,20.5,2,0.4848,24.24,2,0.93,93,4,0.1343,8.9981,1,28,318,346,1
10614,2012/3/23,2,1,3,8,0,5,1,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.1343,8.9981,1,47,615,662,1
10615,2012/3/23,2,1,3,9,0,5,1,2,0.52,21.32,2,0.5,25,2,0.9,90,4,0.0896,6.0032,1,75,305,380,1
10616,2012/3/23,2,1,3,10,0,5,1,2,0.56,22.96,2,0.5303,26.515,2,0.88,88,4,0.1045,7.0015,1,125,150,275,1
10617,2012/3/23,2,1,3,11,0,5,1,2,0.62,25.42,2,0.5909,29.545,2,0.73,73,3,0.1045,7.0015,1,131,187,318,1
10618,2012/3/23,2,1,3,12,0,5,1,2,0.66,27.06,2,0.6212,31.06,3,0.61,61,3,0.2239,15.0013,2,199,272,471,1
10619,2012/3/23,2,1,3,13,0,5,1,2,0.7,28.7,2,0.6515,32.575,3,0.48,48,2,0,0,0,172,256,428,1
10620,2012/3/23,2,1,3,14,0,5,1,2,0.72,29.52,2,0.6515,32.575,3,0.42,42,2,0.1045,7.0015,1,208,224,432,1
10621,2012/3/23,2,1,3,15,0,5,1,2,0.72,29.52,2,0.6515,32.575,3,0.42,42,2,0.1343,8.9981,1,191,281,472,1
10622,2012/3/23,2,1,3,16,0,5,1,2,0.72,29.52,2,0.6515,32.575,3,0.42,42,2,0.1642,11.0014,2,219,370,589,1
10623,2012/3/23,2,1,3,17,0,5,1,2,0.72,29.52,2,0.6515,32.575,3,0.42,42,2,0.1642,11.0014,2,264,693,957,1
10624,2012/3/23,2,1,3,18,0,5,1,1,0.7,28.7,2,0.6364,31.82,3,0.45,45,2,0.1642,11.0014,2,237,593,830,1
10625,2012/3/23,2,1,3,19,0,5,1,1,0.66,27.06,2,0.6212,31.06,3,0.5,50,2,0.194,12.998,2,213,473,686,1
10626,2012/3/23,2,1,3,20,0,5,1,1,0.66,27.06,2,0.6212,31.06,3,0.47,47,2,0.1343,8.9981,1,117,328,445,1
10627,2012/3/23,2,1,3,21,0,5,1,1,0.62,25.42,2,0.6212,31.06,3,0.53,53,2,0.1045,7.0015,1,64,220,284,1
10628,2012/3/23,2,1,3,22,0,5,1,1,0.6,24.6,2,0.6061,30.305,3,0.64,64,3,0.2836,19.0012,3,53,218,271,0
10629,2012/3/23,2,1,3,23,0,5,1,1,0.6,24.6,2,0.5909,29.545,2,0.69,69,3,0.2537,16.9979,2,51,125,176,0
10630,2012/3/24,2,1,3,0,0,6,0,1,0.58,23.78,2,0.5455,27.275,2,0.68,68,3,0,0,0,45,111,156,0
10631,2012/3/24,2,1,3,1,0,6,0,1,0.56,22.96,2,0.5303,26.515,2,0.73,73,3,0.0896,6.0032,1,20,108,128,0
10632,2012/3/24,2,1,3,2,0,6,0,1,0.54,22.14,2,0.5152,25.76,2,0.77,77,3,0.1045,7.0015,1,14,55,69,0
10633,2012/3/24,2,1,3,3,0,6,0,1,0.54,22.14,2,0.5152,25.76,2,0.77,77,3,0.1045,7.0015,1,10,22,32,0
10634,2012/3/24,2,1,3,4,0,6,0,1,0.52,21.32,2,0.5,25,2,0.83,83,4,0.0896,6.0032,1,1,6,7,0
10635,2012/3/24,2,1,3,5,0,6,0,2,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1642,11.0014,2,0,4,4,0
10636,2012/3/24,2,1,3,6,0,6,0,2,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1642,11.0014,2,4,24,28,0
10637,2012/3/24,2,1,3,7,0,6,0,2,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.1343,8.9981,1,25,45,70,1
10638,2012/3/24,2,1,3,8,0,6,0,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.194,12.998,2,41,113,154,1
10639,2012/3/24,2,1,3,9,0,6,0,2,0.52,21.32,2,0.5,25,2,0.83,83,4,0.1343,8.9981,1,96,153,249,1
10640,2012/3/24,2,1,3,10,0,6,0,2,0.52,21.32,2,0.5,25,2,0.88,88,4,0.194,12.998,2,148,197,345,1
10641,2012/3/24,2,1,3,11,0,6,0,2,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.194,12.998,2,98,175,273,1
10642,2012/3/24,2,1,3,12,0,6,0,3,0.52,21.32,2,0.5,25,2,0.94,94,4,0.2239,15.0013,2,61,122,183,1
10643,2012/3/24,2,1,3,13,0,6,0,3,0.52,21.32,2,0.5,25,2,0.94,94,4,0.2537,16.9979,2,62,134,196,1
10644,2012/3/24,2,1,3,14,0,6,0,3,0.52,21.32,2,0.5,25,2,0.88,88,4,0.3582,23.9994,3,63,160,223,1
10645,2012/3/24,2,1,3,15,0,6,0,3,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.4179,27.9993,3,118,172,290,1
10646,2012/3/24,2,1,3,16,0,6,0,3,0.5,20.5,2,0.4848,24.24,2,0.94,94,4,0.2985,19.9995,3,49,128,177,1
10647,2012/3/24,2,1,3,17,0,6,0,3,0.5,20.5,2,0.4848,24.24,2,0.88,88,4,0.2239,15.0013,2,47,68,115,1
10648,2012/3/24,2,1,3,18,0,6,0,3,0.46,18.86,1,0.4545,22.725,2,0.94,94,4,0.2239,15.0013,2,27,110,137,1
10649,2012/3/24,2,1,3,19,0,6,0,3,0.46,18.86,1,0.4545,22.725,2,0.94,94,4,0.1343,8.9981,1,28,105,133,1
10650,2012/3/24,2,1,3,20,0,6,0,3,0.44,18.04,1,0.4394,21.97,2,1,100,4,0.194,12.998,2,31,80,111,1
10651,2012/3/24,2,1,3,21,0,6,0,3,0.44,18.04,1,0.4394,21.97,2,1,100,4,0.194,12.998,2,16,88,104,1
10652,2012/3/24,2,1,3,22,0,6,0,3,0.44,18.04,1,0.4394,21.97,2,1,100,4,0.2537,16.9979,2,12,71,83,0
10653,2012/3/24,2,1,3,23,0,6,0,2,0.44,18.04,1,0.4394,21.97,2,0.94,94,4,0.2836,19.0012,3,17,88,105,0
10654,2012/3/25,2,1,3,0,0,0,0,2,0.44,18.04,1,0.4394,21.97,2,0.94,94,4,0.2836,19.0012,3,18,62,80,0
10655,2012/3/25,2,1,3,1,0,0,0,2,0.42,17.22,1,0.4242,21.21,2,1,100,4,0.2537,16.9979,2,24,65,89,0
10656,2012/3/25,2,1,3,2,0,0,0,3,0.42,17.22,1,0.4242,21.21,2,1,100,4,0.2985,19.9995,3,6,29,35,0
10657,2012/3/25,2,1,3,3,0,0,0,3,0.42,17.22,1,0.4242,21.21,2,0.94,94,4,0.2985,19.9995,3,8,10,18,0
10658,2012/3/25,2,1,3,4,0,0,0,2,0.42,17.22,1,0.4242,21.21,2,0.94,94,4,0.3284,22.0028,3,1,7,8,0
10659,2012/3/25,2,1,3,5,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,1,100,4,0.2537,16.9979,2,0,6,6,0
10660,2012/3/25,2,1,3,6,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,1,100,4,0.2537,16.9979,2,5,13,18,0
10661,2012/3/25,2,1,3,7,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.94,94,4,0.3284,22.0028,3,14,25,39,1
10662,2012/3/25,2,1,3,8,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.94,94,4,0.3284,22.0028,3,21,68,89,1
10663,2012/3/25,2,1,3,9,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.94,94,4,0.2537,16.9979,2,26,92,118,1
10664,2012/3/25,2,1,3,10,0,0,0,2,0.4,16.4,1,0.4091,20.455,2,0.87,87,4,0.3284,22.0028,3,78,172,250,1
